dataset_id,uuid,type
9d61c3ed365a40f310ec7cddfc986f0d,SNT782.NFTH.529,SN_0134
7f77a3527f6a2606f6cc54da76525c47,SNT852.MBFQ.742,SN_0137
a9e0dc32f9dccdf0c31ff30614f8842b,SNT237.HHFT.695,SN_0196
f23659697609760818048917944e807b,SNT485.TFZW.933,SN_0136
89a97d16a2d5721ef72fb9ef2a29c714,SNT726.KXCD.936,SN_0199
196c62b6ed3034fc435d18e31d9914d8,SNT726.KXCD.936,SN_0199
fa60dc9d1ac4c2e5331423987830f940,SNT389.MKGS.876,SN_0135
568280a316bf1bcb2848e6a8ec753166,SNT782.NFTH.529,SN_0134
cdee07c8f709179a65aa57c1d54fd602,SNT597.LBBX.278,SN_0113
b7461b41d4731a1c5f3628ad6ede1de1,SNT389.FLMV.956,SN_0140
eb7f474a91b4ea7d4bf2a120cc06475e,SNT897.XSKH.765,SN_0123
54b4c211966d8dedb2c29c836f4c16e7,SNT765.VJSX.938,SN_0130
9f46e892635bab04483c705df77739bf,SNT727.CGJB.362,SN_0139
6a7ecddabfd734da5f937299f1f1d5ac,SNT765.VJSX.938,SN_0130
ee09be2f2baf61de8be82951a520ef6f,SNT887.HQLX.679,SN_0133
92e8fe6cad62a4d8d2998b9515f30e9f,SNT597.LBBX.278,SN_0113
50d78244053d634d15a0cb5037ac08e0,SNT336.TNTN.436,SN_0142
4e9442995f1c181ac14128ed01df878f,SNT765.VJSX.938,SN_0130
c90fca32641641b143eb52ccd24cb6cd,SNT887.HQLX.679,SN_0133
8a728556848725a32d05cade3fc4152a,SNT485.TFZW.933,SN_0136
2e65734fd30bc7ba6e39bded5167e814,SNT892.GCWJ.473,SN_0198
9fa43198d47cf24b03fd0f612c124333,SNT897.XSKH.765,SN_0123
c9058a5680bc731afaead6f04e2ebe7e,SNT296.ZSSX.293,SN_0119
146d5b93ab3e50e2d394ebad3bc324df,SNT949.HRSM.865,SN_0141
17cb531680a13fcc90def70f4cc0dbb4,SNT726.KXCD.936,SN_0199
3ac912e7814f43b27e0412aef0838af8,SNT949.HRSM.865,SN_0141
cf506aa312bae0ece94b05eb8baf28d7,SNT997.SGFS.597,SN_0131
b1127c6fc5812e6e4fb4bae9b24fcbaa,SNT634.CNDC.344,SN_0120
ecb0f9072cd4e24213143bdfe71a9f00,SNT897.XSKH.765,SN_0123
16be85381fb55e54f870de4ab4b94e93,SNT472.XBQZ.856,SN_0132
2c01983391ccf5db2b4c130623ed6069,SNT597.LBBX.278,SN_0113
5d08c887e313a366d1659f57ecefa070,SNT378.XSNC.662,SN_0144
ed0518ff52d0350af7e8713866a07df4,SNT892.GCWJ.473,SN_0198
942801cfd363cf6610cc3e980cd5ae06,SNT782.NFTH.529,SN_0134
d5f540b18a5820af933977f9eec4e97c,SNT727.CGJB.362,SN_0139
d1d1b8e0f1e7bb0328330b3712538be1,SNT887.HQLX.679,SN_0133
8b2b640ea263d5e558eb0a9e523aa70d,SNT782.NFTH.529,SN_0134
5046c69b22af196640594d634dfbbcbe,SNT897.XSKH.765,SN_0123
022c762d0efe8d86fda2bab7d4d580f7,SNT772.RRSX.967,SN_0114
acbd822efc8b59568884e516667064a3,SNT727.CGJB.362,SN_0139
55c1b1a47cca9c9b376ef85dbd942e33,SNT887.HQLX.679,SN_0133
4637d1f2749ea6e2763ff37dfe1626f3,SNT336.TNTN.436,SN_0142
699103fa315953825f8253510003df5b,SNT985.HJQN.458,SN_0121
dc2b41db762069520e10b6b9683623b8,SNT887.HQLX.679,SN_0133
d0c63b48d1c09d2c0c86126fe273752c,SNT389.MKGS.876,SN_0135
1be169a87ef3e46081383c95835f57a8,SNT634.CNDC.344,SN_0120
61965f854519666ad8886b7b60d3a0d2,SNT485.TFZW.933,SN_0136
ab5d1ce1b9d651ed32769a46c5068fcc,SNT378.XSNC.662,SN_0144
cc5a5544ebb398ad70cb27beff8afdc7,SNT985.HJQN.458,SN_0121
1969d23a61c8f797754843c7666e0883,SNT765.VJSX.938,SN_0130
