x,y,combined_info
8039.0,8330.0,Enterocyte_Cell Type
6840.0,406.0,Enterocyte_Cell Type
6564.0,3635.0,Enterocyte_Cell Type
6371.0,2034.0,Enterocyte_Cell Type
8071.0,5115.0,Enterocyte_Cell Type
6000.0,333.0,Enterocyte_Cell Type
6518.0,2343.0,Enterocyte_Cell Type
6389.0,2717.0,Enterocyte_Cell Type
7613.0,6241.0,Enterocyte_Cell Type
6954.0,3298.0,Enterocyte_Cell Type
7561.0,6505.0,Enterocyte_Cell Type
7219.0,3186.0,Enterocyte_Cell Type
6074.0,1466.0,Enterocyte_Cell Type
3401.0,4762.0,Enterocyte_Cell Type
7289.0,7402.0,Enterocyte_Cell Type
7707.0,8189.0,Enterocyte_Cell Type
6242.0,455.0,Enterocyte_Cell Type
7199.0,6331.0,Enterocyte_Cell Type
6119.0,4699.0,Enterocyte_Cell Type
8086.0,8348.0,Enterocyte_Cell Type
7564.0,5716.0,Enterocyte_Cell Type
5426.0,1907.0,Enterocyte_Cell Type
7266.0,6896.0,Enterocyte_Cell Type
7123.0,3606.0,Enterocyte_Cell Type
7259.0,4617.0,Enterocyte_Cell Type
7701.0,6126.0,Enterocyte_Cell Type
7241.0,3307.0,Enterocyte_Cell Type
4217.0,8367.0,Enterocyte_Cell Type
5163.0,625.0,Enterocyte_Cell Type
7952.0,7482.0,Enterocyte_Cell Type
7666.0,2804.0,Enterocyte_Cell Type
7496.0,5657.0,Enterocyte_Cell Type
7747.0,6631.0,Enterocyte_Cell Type
6367.0,4160.0,Enterocyte_Cell Type
7638.0,4759.0,Enterocyte_Cell Type
8300.0,6789.0,Enterocyte_Cell Type
8050.0,5034.0,Enterocyte_Cell Type
8509.0,5677.0,Enterocyte_Cell Type
4957.0,652.0,Enterocyte_Cell Type
7819.0,5334.0,Enterocyte_Cell Type
1586.0,367.0,Enterocyte_Cell Type
3619.0,4191.0,Enterocyte_Cell Type
7690.0,5665.0,Enterocyte_Cell Type
7955.0,6030.0,Enterocyte_Cell Type
