x,y,combined_info
6000.0,333.0,Mature Epithelial_Community
6518.0,2343.0,Mature Epithelial_Community
6389.0,2717.0,CD8+ T Enriched IEL_Community
7613.0,6241.0,Mature Epithelial_Community
6954.0,3298.0,Mature Epithelial_Community
7561.0,6505.0,Mature Epithelial_Community
7219.0,3186.0,Mature Epithelial_Community
6074.0,1466.0,CD8+ T Enriched IEL_Community
3401.0,4762.0,Stroma_Community
7289.0,7402.0,Plasma Cell Enriched_Community
7707.0,8189.0,Plasma Cell Enriched_Community
6242.0,455.0,Mature Epithelial_Community
7199.0,6331.0,Plasma Cell Enriched_Community
6119.0,4699.0,Adaptive Immune Enriched_Community
8086.0,8348.0,Mature Epithelial_Community
7564.0,5716.0,Mature Epithelial_Community
5426.0,1907.0,Plasma Cell Enriched_Community
7266.0,6896.0,Plasma Cell Enriched_Community
7123.0,3606.0,Mature Epithelial_Community
7259.0,4617.0,Mature Epithelial_Community
7701.0,6126.0,Mature Epithelial_Community
7241.0,3307.0,Mature Epithelial_Community
4217.0,8367.0,Stroma_Community
5163.0,625.0,Mature Epithelial_Community
7952.0,7482.0,Mature Epithelial_Community
7666.0,2804.0,Mature Epithelial_Community
7496.0,5657.0,Mature Epithelial_Community
7747.0,6631.0,Mature Epithelial_Community
6367.0,4160.0,Plasma Cell Enriched_Community
7638.0,4759.0,Mature Epithelial_Community
8300.0,6789.0,Mature Epithelial_Community
8050.0,5034.0,Mature Epithelial_Community
8509.0,5677.0,Mature Epithelial_Community
4957.0,652.0,Plasma Cell Enriched_Community
7819.0,5334.0,Mature Epithelial_Community
1586.0,367.0,Stroma_Community
3619.0,4191.0,Stroma_Community
7690.0,5665.0,Mature Epithelial_Community
7955.0,6030.0,Mature Epithelial_Community
7135.0,3032.0,Mature Epithelial_Community
4599.0,8965.0,Stroma_Community
3426.0,5743.0,Stroma_Community
6085.0,2158.0,Mature Epithelial_Community
7703.0,4715.0,Mature Epithelial_Community
7723.0,8740.0,Mature Epithelial_Community
7385.0,5609.0,Mature Epithelial_Community
6797.0,3905.0,Mature Epithelial_Community
7530.0,6251.0,Plasma Cell Enriched_Community
8444.0,8895.0,Mature Epithelial_Community
8058.0,5115.0,Mature Epithelial_Community
8382.0,6090.0,Mature Epithelial_Community
6440.0,2766.0,CD8+ T Enriched IEL_Community
6335.0,3985.0,Plasma Cell Enriched_Community
8182.0,5328.0,Mature Epithelial_Community
8659.0,5999.0,Mature Epithelial_Community
8512.0,5845.0,Mature Epithelial_Community
1578.0,3008.0,Stroma_Community
5724.0,1198.0,Mature Epithelial_Community
6344.0,3598.0,Plasma Cell Enriched_Community
5827.0,3646.0,Secretory Epithelial_Community
6716.0,1739.0,Mature Epithelial_Community
8717.0,6110.0,Mature Epithelial_Community
962.0,1617.0,Stroma_Community
6615.0,3171.0,Mature Epithelial_Community
7596.0,4132.0,Innate Immune Enriched_Community
7426.0,5294.0,CD8+ T Enriched IEL_Community
6451.0,335.0,Mature Epithelial_Community
7207.0,4675.0,Mature Epithelial_Community
6439.0,3660.0,Plasma Cell Enriched_Community
6222.0,1761.0,Mature Epithelial_Community
1679.0,8995.0,Stroma_Community
7596.0,8179.0,Plasma Cell Enriched_Community
2805.0,2375.0,Stroma_Community
7343.0,5532.0,Mature Epithelial_Community
5756.0,674.0,Innate Immune Enriched_Community
6009.0,1098.0,CD8+ T Enriched IEL_Community
8081.0,7067.0,Mature Epithelial_Community
7524.0,6041.0,Mature Epithelial_Community
6153.0,3031.0,CD8+ T Enriched IEL_Community
7668.0,6078.0,Mature Epithelial_Community
7918.0,5972.0,Mature Epithelial_Community
8564.0,6827.0,Mature Epithelial_Community
6805.0,2367.0,Mature Epithelial_Community
5141.0,860.0,Plasma Cell Enriched_Community
6893.0,4579.0,Mature Epithelial_Community
8040.0,6841.0,Mature Epithelial_Community
3020.0,8458.0,Stroma_Community
6221.0,3994.0,Secretory Epithelial_Community
6751.0,5773.0,Plasma Cell Enriched_Community
8328.0,8468.0,Mature Epithelial_Community
3658.0,2975.0,Stroma_Community
6568.0,2305.0,Mature Epithelial_Community
7812.0,4371.0,Mature Epithelial_Community
8224.0,5551.0,Mature Epithelial_Community
6928.0,4987.0,Plasma Cell Enriched_Community
5710.0,1204.0,CD8+ T Enriched IEL_Community
8357.0,7411.0,Mature Epithelial_Community
7628.0,6913.0,Plasma Cell Enriched_Community
5282.0,1604.0,Plasma Cell Enriched_Community
5552.0,1267.0,Plasma Cell Enriched_Community
7416.0,7964.0,Plasma Cell Enriched_Community
8048.0,7602.0,Mature Epithelial_Community
5530.0,1431.0,Plasma Cell Enriched_Community
7340.0,6528.0,Plasma Cell Enriched_Community
6659.0,5523.0,Secretory Epithelial_Community
5555.0,2715.0,CD8+ T Enriched IEL_Community
7653.0,4468.0,Mature Epithelial_Community
6709.0,4548.0,Plasma Cell Enriched_Community
8034.0,7969.0,CD8+ T Enriched IEL_Community
8300.0,8595.0,Mature Epithelial_Community
9014.0,8007.0,Mature Epithelial_Community
5745.0,1068.0,Mature Epithelial_Community
7639.0,6586.0,Mature Epithelial_Community
6949.0,6024.0,Plasma Cell Enriched_Community
6359.0,299.0,Mature Epithelial_Community
5759.0,95.0,Mature Epithelial_Community
6680.0,3027.0,Mature Epithelial_Community
4723.0,6.0,Plasma Cell Enriched_Community
7297.0,4485.0,Mature Epithelial_Community
6082.0,3155.0,Mature Epithelial_Community
8592.0,8863.0,Mature Epithelial_Community
8909.0,8450.0,Mature Epithelial_Community
7078.0,6555.0,Plasma Cell Enriched_Community
7933.0,4492.0,Mature Epithelial_Community
6000.0,1477.0,CD8+ T Enriched IEL_Community
7314.0,3297.0,Mature Epithelial_Community
7587.0,6420.0,Innate Immune Enriched_Community
7552.0,8270.0,CD8+ T Enriched IEL_Community
8248.0,6019.0,Mature Epithelial_Community
8884.0,8516.0,Mature Epithelial_Community
7350.0,6088.0,Plasma Cell Enriched_Community
7027.0,3030.0,Mature Epithelial_Community
6522.0,2539.0,Mature Epithelial_Community
8021.0,5022.0,Mature Epithelial_Community
