csv_row,id,label,cl_label
2178,http://purl.obolibrary.org/obo/CL_0009077,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell
2179,http://purl.obolibrary.org/obo/CL_0009077,subcapsular cortical epithelial cell,subcapsular thymic epithelial cell
1796,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1797,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1798,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1799,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1800,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1801,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1802,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1803,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1804,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1805,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1806,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1807,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1808,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1809,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
3436,http://purl.obolibrary.org/obo/CL_1000324,mast cell,duodenal goblet cell
3453,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3454,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3455,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3456,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3457,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3458,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3459,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3460,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3461,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3462,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3463,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3464,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3465,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3466,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3467,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3468,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3469,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3470,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3471,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3472,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3473,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3474,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3475,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3476,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3477,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3478,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3479,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3480,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3481,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3482,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3483,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3484,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3485,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3486,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3487,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3488,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3489,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3490,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3491,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3492,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3493,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3494,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3495,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3496,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3497,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3498,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3499,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3500,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3501,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3502,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3503,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3504,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3505,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3506,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3507,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3508,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3509,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3510,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3511,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3512,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3513,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3514,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3515,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3516,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3517,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3518,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3519,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3520,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3521,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3522,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3523,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3524,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3525,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3526,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3527,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3528,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3529,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3530,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
3531,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,myofibroblast cell
369,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
370,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
371,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
372,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
373,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
374,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
375,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
376,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
377,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
378,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
379,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
380,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
381,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
382,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
383,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
384,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
385,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
386,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
387,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
388,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
389,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
390,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
391,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
392,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
393,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
394,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
395,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
396,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
397,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
398,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
399,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
400,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
401,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
402,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
403,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
404,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
405,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
406,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
407,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
408,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
409,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell of bronchus submucosal gland,serous secreting cell
1256,http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct,kidney inner medulla collecting duct principal cell
1257,http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct,kidney inner medulla collecting duct principal cell
1258,http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct,kidney inner medulla collecting duct principal cell
1259,http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct,kidney inner medulla collecting duct principal cell
1260,http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct,kidney inner medulla collecting duct principal cell
1261,http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct,kidney inner medulla collecting duct principal cell
1810,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1811,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1812,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1813,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1814,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1815,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1816,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1817,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1818,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1819,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1820,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1821,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1822,http://purl.obolibrary.org/obo/CL_0000653,glomerular visceral epithelial cell,podocyte
1881,http://purl.obolibrary.org/obo/CL_1001096,afferent arteriole endothelial cell,kidney afferent arteriole endothelial cell
1882,http://purl.obolibrary.org/obo/CL_1001096,afferent arteriole endothelial cell,kidney afferent arteriole endothelial cell
1883,http://purl.obolibrary.org/obo/CL_1001096,afferent arteriole endothelial cell,kidney afferent arteriole endothelial cell
1884,http://purl.obolibrary.org/obo/CL_1001096,afferent arteriole endothelial cell,kidney afferent arteriole endothelial cell
1885,http://purl.obolibrary.org/obo/CL_1001096,afferent arteriole endothelial cell,kidney afferent arteriole endothelial cell
1886,http://purl.obolibrary.org/obo/CL_1001096,afferent arteriole endothelial cell,kidney afferent arteriole endothelial cell
1887,http://purl.obolibrary.org/obo/CL_1001096,afferent arteriole endothelial cell,kidney afferent arteriole endothelial cell
1888,http://purl.obolibrary.org/obo/CL_1001096,afferent arteriole endothelial cell,kidney afferent arteriole endothelial cell
1889,http://purl.obolibrary.org/obo/CL_1001096,afferent arteriole endothelial cell,kidney afferent arteriole endothelial cell
1890,http://purl.obolibrary.org/obo/CL_1001096,afferent arteriole endothelial cell,kidney afferent arteriole endothelial cell
1891,http://purl.obolibrary.org/obo/CL_1001096,afferent arteriole endothelial cell,kidney afferent arteriole endothelial cell
